word,cnt
xx,0
interín,0
humberta,0
histeriqueamos,0
hipermelosos,0
halcrow,0
grinch,0
gilman,0
g,0
flexionaría,0
ferracioli,0
explicáme,0
descorrió,0
desabrigarme,0
delivery,0
d,0
creede,0
contraejemplo,0
abrigate,0
adrianita,0
agujitas,0
antropocéntricos,0
backstage,0
balvanera,0
linita,0
bertita,0
bolsillóloga,0
cabeceaban,0
campinas,0
chacarita,0
cipolletti,0
computacionales,0
bizet,0
madwell,0
hambrientamente,0
metrovías,0
xix,0
wakefield,0
unsworth,0
tweets,0
trrrrr,0
tristones,0
trac,0
tidy,0
mazzini,0
telgopor,0
subóptima,0
subte,0
sanguchitos,0
reposeras,0
pueyrredón,0
theresa,0
podcasts,0
médanos,0
posverdad,0
neurofisiológicos,0
xv,0
nocaut,0
nesquick,0
olavarría,0
nogués,0
p,0
entristecían,1
lugones,1
tapial,1
carrasperas,2
hiló,3
homeópatas,4
fealdades,4
abanicaba,4
redobló,4
humedecida,5
agrupó,5
devaluados,5
presintiera,5
eximió,6
desfigure,6
ilusionó,7
curanderas,7
trabajosamente,7
estampaba,8
humaredas,8
tatuaría,9
copadas,9
constitutiva,9
refutarlas,10
accederse,10
deliró,10
fugacidad,10
posarme,10
parapsicólogos,10
replegó,11
terciopelos,11
cabizbaja,11
ejemplificar,11
adelgazara,11
migró,12
estupefacción,12
changas,12
porteño,13
alfajores,13
fantasmagóricas,14
destaparon,14
reflexivos,14
malcriaron,14
castillito,15
implementados,15
tardecita,17
extinguía,17
enamoremos,17
bosquecito,17
orientó,17
depurada,17
complicaran,18
trenzaron,18
alumbraba,20
retorcían,21
modorra,21
parentela,22
desganada,22
atardeciendo,22
ágilmente,22
blanqueó,24
finísima,25
sobrada,25
ojotas,26
trepaban,26
apuraron,26
lustrosa,26
maravillándose,26
velaron,27
azorado,28
asomaban,28
repasó,28
admiraron,28
enmudecer,29
chirriaba,29
precisiones,29
suplicaban,30
derrumbaban,30
inexpresable,30
cabildo,31
representaran,31
ornamentales,31
arenal,32
topara,32
esmeró,33
destapando,33
amílcar,33
boreales,33
desandar,34
desproporcionadamente,34
suspiré,35
espaciadas,36
atravesábamos,36
amanecía,36
quilombos,37
autoengaño,37
geométricamente,37
amortiguado,38
pitadas,38
conformaban,39
fastuoso,39
inversamente,39
zaguán,39
sentadita,40
cadavérica,40
revolvía,40
plegada,41
ananás,41
sonrojó,42
porfiado,42
